,date,title,url,index,index_similarity,title_similar_index
3075,2022.05.13.,"우크라 민간인 살해한 러 하사, 전범 첫 재판 넘겨져",http://news.tvchosun.com/site/data/html_dir/2022/05/13/2022051390045.html,3075$,"3075$우크라 민간인 살해한 러 하사, 전범 첫 재판 넘겨져",[]
3078,2022.05.12.,[Pick] '비 오는데 우산 안 씌워주잖아' 길 가던 사람 그냥 살해,https://news.sbs.co.kr/news/endPage.do?news_id=N1006747144&plink=ORI&cooper=NAVER,3078$,3078$[Pick] '비 오는데 우산 안 씌워주잖아' 길 가던 사람 그냥 살해,[]
3079,2022.05.17.,8살 딸 학대살해 친모·계부에 '추가 징역',https://www.siminilbo.co.kr/news/newsview.php?ncode=1160291399654294,3079$,3079$8살 딸 학대살해 친모·계부에 '추가 징역',[]
3080,2022.05.13.,"말다툼 끝에 부친 살해한 40대, 1심서 징역 20년",http://news.heraldcorp.com/view.php?ud=20220513000373,3080$,"3080$말다툼 끝에 부친 살해한 40대, 1심서 징역 20년",[]
3081,2022.05.13.,2살 입양아 때려 숨지게 한 화성 30대 양부 항소심도 징역 22년,https://www.joongang.co.kr/article/25070985,3081$,3081$2살 입양아 때려 숨지게 한 화성 30대 양부 항소심도 징역 22년,[]
3082,2022.05.12.,"민간인 살해한 러 군인 '첫 전범재판'…""종신형 처할 수도""",https://news.jtbc.joins.com/article/article.aspx?news_id=NB12058710,3082$,"3082$민간인 살해한 러 군인 '첫 전범재판'…""종신형 처할 수도""",[]
3084,2022.05.02.,"교제거부한 동료 흉기로 살해하려 한 남성, 2심서 '징역 18년' 선고",http://www.newsis.com/view/?id=NISX20220502_0001856354&cID=10803&pID=14000,3084$,"3084$교제거부한 동료 흉기로 살해하려 한 남성, 2심서 '징역 18년' 선고",[]
3086,2022.05.03.,"‘조현병’ 앓던 30대, 모친 살해에 징역 15년 확정",http://www.munhwa.com/news/view.html?no=20220503MW16310391823,3086$,"3086$‘조현병’ 앓던 30대, 모친 살해에 징역 15년 확정",[]
3087,2022.05.16.,"""술마시면 폭행""…친부 살해한 미국인 항소심도 '징역 5년'",https://www.news1.kr/articles/?4681710,3087$,"3087$""술마시면 폭행""…친부 살해한 미국인 항소심도 '징역 5년'",[]
3090,2022.05.12.,친할머니 흉기 살해 10대 형제 항소 기각…장기 12년·단기 7년,https://www.joongang.co.kr/article/25070620,3090$,3090$친할머니 흉기 살해 10대 형제 항소 기각…장기 12년·단기 7년,[]
3091,2022.05.06.,아들 동원 채무자 암매장 50대 무기징역 구형,http://www.kado.net/news/articleView.html?idxno=1125192,3091$,3091$아들 동원 채무자 암매장 50대 무기징역 구형,[]
3092,2022.05.17.,"[종합] 검찰, '신변보호 여성 모친 살해' 이석준 사형 구형…""영원히 사회서 격리돼야""",http://www.newspim.com/news/view/20220517001158,3092$,"3092$[종합] 검찰, '신변보호 여성 모친 살해' 이석준 사형 구형…""영원히 사회서 격리돼야""",[]
3096,2022.05.14.,“한발에 쓰러져”…전범재판 ‘민간인 살해’ 시인한 러군,https://news.kmib.co.kr/article/view.asp?arcid=0017075859&code=61131611&cp=nv,3096$,3096$“한발에 쓰러져”…전범재판 ‘민간인 살해’ 시인한 러군,[]
3097,2022.05.14.,[보따리]의붓아버지가 지적장애 20대 아들 살해한 이유는,https://www.seoul.co.kr/news/newsView.php?id=20220513500159&wlog_tag3=naver,3097$,3097$[보따리]의붓아버지가 지적장애 20대 아들 살해한 이유는,[]
3098,2022.05.17.,10살 조카 '물고문 살인' 이모 징역 30년 확정,http://www.yonhapnewstv.co.kr/MYH20220517018400038/?input=1825m,3098$,3098$10살 조카 '물고문 살인' 이모 징역 30년 확정,"[['3025'], ['3186']]"
3099,2022.05.12.,초면에 “1000원 빌려달라” 거절하자 행인 살해한 40대에 징역 20년…2심도 ‘심신미약 아니다’,http://www.segye.com/content/html/2022/05/12/20220512506463.html?OutUrl=naver,3099$,3099$초면에 “1000원 빌려달라” 거절하자 행인 살해한 40대에 징역 20년…2심도 ‘심신미약 아니다’,[]
3101,2022.05.12.,"잔소리 할머니 살해 대구 10대, 2심도 장기 12년·단기 7년",https://www.news1.kr/articles/?4677918,3101$,"3101$잔소리 할머니 살해 대구 10대, 2심도 장기 12년·단기 7년",[]
3103,2022.05.11.,"1천 원 안 빌려줘서 행인 살해한 40대, 2심도 징역 20년",https://news.jtbc.joins.com/article/article.aspx?news_id=NB12058572,3103$,"3103$1천 원 안 빌려줘서 행인 살해한 40대, 2심도 징역 20년",[]
3104,2022.05.04.,‘악마’ 망상 빠져 母 살해한 명문대생 ‘징역 15년’ 확정…청계천 다리서 뛰어내리기도,http://www.segye.com/content/html/2022/05/03/20220503517337.html?OutUrl=naver,3104$,3104$‘악마’ 망상 빠져 母 살해한 명문대생 ‘징역 15년’ 확정…청계천 다리서 뛰어내리기도,[]
3105,2022.05.11.,"""반려견 돌려줘"" 친모에 44차례 협박 문자·흉기 살해 예비까지",https://www.yna.co.kr/view/AKR20220510138400062?input=1195m,3105$,"3105$""반려견 돌려줘"" 친모에 44차례 협박 문자·흉기 살해 예비까지",[]
3106,2022.05.13.,마약 투약 후 길에서 지인 살해 징역 15년,https://busanmbc.co.kr/article/dQJWhB9yJGUG_fuw,3106$,3106$마약 투약 후 길에서 지인 살해 징역 15년,[]
3107,2022.05.12.,친할머니 존속살해 10대 형제 항소 기각,https://www.pressian.com/pages/articles/2022051211245621365?utm_source=naver&utm_medium=search,3107$,3107$친할머니 존속살해 10대 형제 항소 기각,[]
3108,2022.05.13.,두살배기 입양딸 학대·살해 30대 양부 항소심도 징역 22년… 양모는 감형,https://www.pressian.com/pages/articles/2022051318454681559?utm_source=naver&utm_medium=search,3108$,3108$두살배기 입양딸 학대·살해 30대 양부 항소심도 징역 22년… 양모는 감형,[]
3109,2022.05.19.,"가상화폐로 진 빚 갚아준 아버지 살해 시도…아버지는 ""선처 원해""",https://view.asiae.co.kr/article/2022051916343003082,3109$,"3109$가상화폐로 진 빚 갚아준 아버지 살해 시도…아버지는 ""선처 원해""",[]
3110,2022.05.17.,'여수 층간소음 불만' 부부 숨지게 한 30대 무기징역 선고,https://www.nocutnews.co.kr/news/5757575,3110$,3110$'여수 층간소음 불만' 부부 숨지게 한 30대 무기징역 선고,[]
3111,2022.05.22.,[화성 니코틴 사건 판결] '계획적 살인'에는 무기징역… 살인죄에도 종류가 있다,http://www.kyeongin.com/main/view.php?key=20220522010004851,3111$,3111$[화성 니코틴 사건 판결] '계획적 살인'에는 무기징역… 살인죄에도 종류가 있다,[]
3112,2022.05.12.,"“잔소리 지겨워” 할머니 살해한 10대, 항소심도 중형",https://news.kmib.co.kr/article/view.asp?arcid=0017069059&code=61121311&cp=nv,3112$,"3112$“잔소리 지겨워” 할머니 살해한 10대, 항소심도 중형",[]
3114,2022.05.03.,모친 살해 후 청계천 투신한 30대 징역 15년 확정,https://www.yna.co.kr/view/AKR20220502111100004?input=1195m,3114$,3114$모친 살해 후 청계천 투신한 30대 징역 15년 확정,"[['3158'], ['3166']]"
3116,2022.05.01.,직장 동료 남편 흉기로 살해한 중국인 '징역 20년',http://www.domin.co.kr/news/articleView.html?idxno=1380469,3116$,3116$직장 동료 남편 흉기로 살해한 중국인 '징역 20년',[]
3117,2022.05.09.,"'아는 사람인 줄'… 지하철서 처음 본 승객 살해하려한 40대, 징역형",http://moneys.mt.co.kr/news/mwView.php?no=2022050908114736249,3117$,"3117$'아는 사람인 줄'… 지하철서 처음 본 승객 살해하려한 40대, 징역형",[]
3119,2022.05.12.,"친할머니 살해 10대 손자, 항소심서도 징역형 선고",https://www.yeongnam.com/web/view.php?key=20220512010001567,3119$,"3119$친할머니 살해 10대 손자, 항소심서도 징역형 선고",[]
